姓名,年龄,出生年月,求职意向,电话,邮箱,教育经历,最高学位,工作经历,能力证书和技能等级认证,政治面貌,个人技能,荣誉奖励,身高,体重,籍贯,所在地,工作年限
李中冰,24,2000.05,市场总监-专注品牌方向,13802131218,lizhongbing@qq.com,"[{'学习时间': '2015-2018', '院校名称': '顺德中专学校', '学位': '中专', '专业': '市场营销'}]","{'学位': '中专', '授予院校': '顺德中专学校'}","[{'公司名称': '楠恒投资控股集团', '职位': '副总监', '工作时间': '2021.01--2023.4', '是否为实习经历': False}, {'公司名称': '宸楠有限公司', '职位': '市场及运营总监', '工作时间': '2020.01-2021.01', '是否为实习经历': False}, {'公司名称': '楚友俱乐部', '职位': '市场副总监', '工作时间': '2019.01-2020.01', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",中共党员,[],"[{'名称': '社团-自强社“优秀社员”', '获得时间': '2016年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2015年'}, {'名称': '田径运动会10人立定跳远团体赛第三名', '获得时间': '2015年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2015年'}, {'名称': '盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2015年'}, {'名称': '校内论坛主题征文一等奖', '获得时间': '2015年'}]",,,,广东省广州市海珠区,5
黄文隆,23,2001.05,市场总监-专注品牌方向,13800138000,nesson@91muban.cn,"[{'学习时间': '2016.09-2019.06', '院校名称': '广东广播电视中等专业学校', '学位': '中专', '专业': '市场营销'}]","{'学位': '中专', '授予院校': '广东广播电视中等专业学校'}","[{'公司名称': '龙元控股集团', '职位': '副总监', '工作时间': '2022.09--2023.4', '是否为实习经历': False}, {'公司名称': '荣浚有限公司', '职位': '市场及运营总监', '工作时间': '2021.09-2022.09', '是否为实习经历': False}, {'公司名称': '祥麟俱乐部', '职位': '市场副总监', '工作时间': '2020.09-2021.09', '是否为实习经历': False}, {'公司名称': '铭风集团', '职位': '市场部-市场经理', '工作时间': '2019.09-2020.09', '是否为实习经历': False}]","[{'名称': 'C1驾驶证', '获得时间': None}, {'名称': '计算机二级证书', '获得时间': None}, {'名称': '高级营销证书', '获得时间': None}, {'名称': '职业资格证证书', '获得时间': None}, {'名称': '大学英语6级', '获得时间': None}]",中共党员,"['管理能力', '沟通能力', '策划能力', '执行能力']","[{'名称': '自强社“优秀社员”', '获得时间': '2019年'}, {'名称': '三下乡”社会实践活动“优秀学生', '获得时间': '2018年'}, {'名称': '学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2018年'}, {'名称': '学生军事技能训练“优秀学员', '获得时间': '2017年'}, {'名称': '盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2017年'}, {'名称': '大学生主题征文一等奖', '获得时间': '2016年'}]",,,,广东省广州市海珠区,4
谢彦文,22,2002.10.3,市场总监-专注品牌,13800138000,,"[{'学习时间': '2017.09-2020.06', '院校名称': '广州市财经职业学校', '学位': '中专', '专业': '市场营销'}]","{'学位': '中专', '授予院校': '广州市财经职业学校'}","[{'公司名称': '辰鼎控股集团', '职位': '副总监', '工作时间': '2022.10--2023.4', '是否为实习经历': False}, {'公司名称': '雅建有限公司', '职位': '市场及运营总监', '工作时间': '2021.10-2022.10', '是否为实习经历': False}, {'公司名称': '雄立俱乐部', '职位': '市场副总监', '工作时间': '2020.10-2021.10', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,,"[{'名称': '自强社“优秀社员”', '获得时间': '2020年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2019年'}, {'名称': '学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2019年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2019年'}, {'名称': '盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2018年'}, {'名称': '财经职业学校学生主题征文一等奖', '获得时间': '2018年'}, {'名称': '微博文征集大赛二等奖', '获得时间': '2017年'}]",,,广东省广州市,,3
傅智翔,24,2000年,市场总监-专注品牌,13800138000,,"[{'学习时间': '2015.09-2018.06', '院校名称': '广东第二商业中等专业学校', '学位': '中专', '专业': '市场营销'}]","{'学位': '中专', '授予院校': '广东第二商业中等专业学校'}","[{'公司名称': '顺仟控股集团', '职位': '副总监', '工作时间': '2021.12--2023.4', '是否为实习经历': False}, {'公司名称': '唐森有限公司', '职位': '市场及运营总监', '工作时间': '2019.12-2021.12', '是否为实习经历': False}, {'公司名称': '基航俱乐部', '职位': '市场副总监', '工作时间': '2018.12-2019.12', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,"['团队管理', '领导能力', '组织策划', '客户资源管理', '渠道拓展', '市场营销策划', '人才发掘和培养', '沟通能力', '商务谈判', '资源整合', '业务推进']","[{'名称': '商业中等专业学校自强社“优秀社员”', '获得时间': '2018年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2017年'}, {'名称': '商业中等专业学校学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2017年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2016年'}, {'名称': '商业中等专业学校盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2016年'}, {'名称': '商业中等专业学校学生主题征文一等奖', '获得时间': '2015年'}, {'名称': '商业中等专业学校“点燃中华梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2015年'}]",,,广东省广州市,,5
洪振霞,23,2001.05,市场总监-专注品牌方向,13800138000,nesson@91muban.cn,"[{'学习时间': '2016.07-2019.06', '院校名称': '深圳中专学校', '学位': '中专', '专业': '市场营销'}]","{'学位': '中专', '授予院校': '深圳中专学校'}","[{'公司名称': '翰煜控股集团', '职位': '副总监', '工作时间': '2021.12--2023.4', '是否为实习经历': False}, {'公司名称': '荣旭有限公司', '职位': '市场及运营总监', '工作时间': '2020.12-2021.12', '是否为实习经历': False}, {'公司名称': '柏枫俱乐部', '职位': '市场副总监', '工作时间': '2019.12-2020.12', '是否为实习经历': False}]","[{'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",中共党员,"['规划', '组织', '策划', '方案执行', '团队领导能力', '人际关系处理能力', '商务谈判技巧', '沟通能力', '合作关系掌控能力', '市场开拓能力', '资源整合能力', '业务推进能力', '思维敏捷', '培训演讲能力', '激励艺术', '团队协调能力', '团队凝聚力']","[{'名称': '深圳中专学校自强社“优秀社员”', '获得时间': '2019年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2018年'}, {'名称': '深圳中专学校田径运动会10人立定跳远团体赛第三名', '获得时间': '2018年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2017年'}, {'名称': '深圳中专学校盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2017年'}, {'名称': '深圳中专学校学生主题征文一等奖', '获得时间': '2016年'}, {'名称': '深圳中专学校微博文征集大赛二等奖', '获得时间': '2016年'}]",,,,广东省广州市海珠区,4
刘姿婷,36,1988.05,,13800138000,liuziting@qq.com,"[{'学习时间': '2010.07-2013.06', '院校名称': '武汉大学', '学位': '硕士', '专业': '市场营销'}, {'学习时间': '2006.07-2010.06', '院校名称': '武汉大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '硕士', '授予院校': '武汉大学'}","[{'公司名称': '皓铭控股集团', '职位': '副总监', '工作时间': '2018.08--2023.4', '是否为实习经历': False}, {'公司名称': '诺晨有限公司', '职位': '市场及运营总监', '工作时间': '2015.08-2018.08', '是否为实习经历': False}, {'公司名称': '恒仟俱乐部', '职位': '市场副总监', '工作时间': '2013.08-2015.08', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",中共党员,"['规划', '组织', '策划', '方案执行', '团队领导', '人际关系处理', '商务谈判', '沟通', '合作关系掌控', '市场开拓', '资源整合', '业务推进', '思维敏捷', '培训演讲', '激励艺术', '团队协调', '团队综合能力', '凝聚力']","[{'名称': '新长城武汉大学自强社“优秀社员”', '获得时间': '2013年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2012年'}, {'名称': '武汉大学学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2011年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2010年'}, {'名称': '武汉大学盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2009年'}, {'名称': '西部高校大学生主题征文一等奖', '获得时间': '2008年'}, {'名称': '武汉大学“点燃川大梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2007年'}]",,,,湖北省武汉市,10
荣姿康,37,,市场总监-专注品牌,13800138000,rongzikang@qq.com,"[{'学习时间': '2009.09-2012.06', '院校名称': '华中科技大学', '学位': '硕士', '专业': '市场营销'}]","{'学位': '硕士', '授予院校': '华中科技大学'}","[{'公司名称': '浩海控股集团', '职位': '副总监', '工作时间': '2015.10--2023.4', '是否为实习经历': False}, {'公司名称': '柏斌有限公司', '职位': '市场及运营总监', '工作时间': '2012.10-2015.10', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,,"[{'名称': '新长城华中科技大学自强社“优秀社员”', '获得时间': '2012年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2011年'}, {'名称': '华中科技大学学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2011年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2010年'}, {'名称': '华中科技大学盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2010年'}, {'名称': '西部高校大学生主题征文一等奖', '获得时间': '2009年'}, {'名称': '华中科技大学“点燃川大梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2009年'}]",,,,,11
吕致盈,38,1986.04.04,市场总监-专注品牌,+86 13800138000,nesson@91muban.cn,"[{'学习时间': '2008.07-2011.06', '院校名称': '武汉理工大学', '学位': '硕士', '专业': '市场营销'}, {'学习时间': '2004.07-2008.06', '院校名称': '武汉理工大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '硕士', '授予院校': '武汉理工大学'}","[{'公司名称': '迅维控股集团', '职位': '副总监', '工作时间': '2015.12--2023.4', '是否为实习经历': False}, {'公司名称': '立翔有限公司', '职位': '市场及运营总监', '工作时间': '2013.12-2015.12', '是否为实习经历': False}, {'公司名称': '杉永俱乐部', '职位': '市场副总监', '工作时间': '2011.12-2013.12', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,"['阅读', '旅行', '跑步', '羽毛球', '爬山', '烹饪']","[{'名称': '新长城武汉理工大学自强社“优秀社员”', '获得时间': '2011年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2010年'}, {'名称': '武汉理工大学学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2009年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2008年'}, {'名称': '武汉理工大学盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2007年'}, {'名称': '西部高校大学生主题征文一等奖', '获得时间': '2006年'}, {'名称': '武汉理工大学“点燃川大梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2005年'}]",,,,,12
方一强,39,1985.05.04,市场总监-专注品牌,13800138000,nesson@91muban.cn,"[{'学习时间': '2007-2010', '院校名称': '中南财经政法大学', '学位': '硕士', '专业': '市场营销'}]","{'学位': '硕士', '授予院校': '中南财经政法大学'}","[{'公司名称': '顺庆控股集团', '职位': '副总监', '工作时间': '2015.9--2023.4', '是否为实习经历': False}, {'公司名称': '博聚有限公司', '职位': '市场及运营总监', '工作时间': '2013.9-2015.9', '是否为实习经历': False}, {'公司名称': '泽环俱乐部', '职位': '市场副总监', '工作时间': '2010.9-2013.9', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,"['沟通能力', '团队领导', '商务谈判', '资源整合', '业务推进']","[{'名称': '新长城中南财经政法大学自强社“优秀社员”', '获得时间': '2010年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2009年'}, {'名称': '中南财经政法大学学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2008年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2007年'}, {'名称': '中南财经政法大学盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2006年'}, {'名称': '西部高校大学生主题征文一等奖', '获得时间': '2005年'}]",,,,,13
黎芸贵,40,1984.04.06,市场总监-专注品牌方向,13800138000,service@500d.me,"[{'学习时间': '2006.07-2009.06', '院校名称': '华中师范大学', '学位': '硕士', '专业': '市场营销'}]","{'学位': '硕士', '授予院校': '华中师范大学'}","[{'公司名称': '锦伟控股集团', '职位': '副总监', '工作时间': '2015.12--2023.4', '是否为实习经历': False}, {'公司名称': '欧成有限公司', '职位': '市场及运营总监', '工作时间': '2013.12-2015.12', '是否为实习经历': False}, {'公司名称': '宇翰俱乐部', '职位': '市场副总监', '工作时间': '2009.12-2013.12', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,,"[{'名称': '新长城华中师范大学自强社“优秀社员”', '获得时间': '2006年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2005年'}, {'名称': '华中师范大学学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2005年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2005年'}, {'名称': '华中师范大学盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2005年'}, {'名称': '西部高校大学生主题征文一等奖', '获得时间': '2004年'}, {'名称': '华中师范大学“点燃川大梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2003年'}]",,,,,14
